# timestamp tx ty tz qx qy qz qw
1638742859.388666391373 -7.921362824209943e-05 9.225851265169828e-05 -0.0003290038912549815 -0.007176126715372591 -0.00010067080457389199 -4.456174815749016e-06 0.999974246193819
1638742859.448991060257 -1.948667506140849e-05 3.0260475223415275e-05 -0.0003944814574817087 -0.006486509600631297 -0.0013727400523854797 8.854852607210778e-06 0.9999780201082128
1638742859.489649534225 -1.1931669150427591e-05 3.4127683335261425e-06 -0.0003646716894022262 -0.006677345722474129 -0.0009301414459478649 5.729484928311237e-06 0.9999772736708401
1638742859.538727760315 3.3267190369385725e-06 -2.8310443272303407e-05 -0.00025835635704253844 -0.006708204341750852 -0.0011956147241159944 1.4697524950398079e-05 0.9999767848724908
1638742859.589034318924 -9.78875605649596e-05 -5.443110956086744e-05 -0.0003487150780003405 -0.00622133507122929 -0.0008512444444552612 -1.2402069135643336e-06 0.9999802849913038
1638742859.639240503311 -0.00019946568397938608 -3.34369938960509e-05 -0.0003019097780603586 -0.0059746172959549695 -0.0008041191388384456 -2.7581618066996985e-05 0.9999818281248074
1638742859.688807487488 -0.0002049726323769525 2.763757112128741e-05 -0.0003040964102931928 -0.005974454656659218 -0.0012516703911773664 -2.472590368419912e-05 0.9999813691271539
1638742859.738876581192 -0.00016054116914353096 2.622677415832435e-05 -0.00036927574591859855 -0.006046132616421303 -0.001318406628256636 -1.1533962340119268e-05 0.9999808527923496
1638742859.789002418518 -0.00019789911760264672 -3.1827321768506464e-05 -0.00037859795748850487 -0.006165177092130364 -0.00116198067325956 -2.8481394014545848e-05 0.9999803195969148
1638742859.848959922791 -9.867021675475714e-05 -1.5547535059434363e-05 -0.0003054022688791867 -0.0061188589138357645 -0.0012390335842781136 -1.0846823141115664e-05 0.9999805119319656
1638742859.888902187347 -4.272258395930686e-05 -5.596711072151815e-05 -0.0003812756369396686 -0.006160553077202925 -0.0011631136559320644 -7.353854973697151e-06 0.9999803471560464
1638742859.939036369324 -5.202332047061591e-05 -8.058101360457659e-05 -0.00029703402459088527 -0.006173719265326005 -0.0011032800272551219 -1.0459873803875649e-05 0.9999803337337217
1638742859.999080181122 -4.904050512550641e-05 -7.045928863017342e-05 -0.0003622939410761568 -0.006088828064301597 -0.0010816219021291932 -1.3488118671937266e-05 0.9999808778596393
1638742860.038823604584 -1.763411990445789e-05 -0.00010252981830090545 -0.00025356477600873846 -0.006136956151109875 -0.0010842696871134593 -7.40328851861171e-06 0.9999805808482666
1638742860.088743448257 -4.312113419764501e-05 -0.00012074484510105449 -0.0002463769029016629 -0.006105467298728313 -0.0010440058576100184 -1.9305365558452882e-05 0.9999808162900609
1638742860.138830184937 -9.604142310135637e-05 -7.099334135487792e-05 -0.0002607628937349469 -0.006049185937435144 -0.0010123206984422029 -2.4316714273601632e-05 0.9999811908056047
1638742860.188983201981 -5.345802786490404e-05 -8.585449839405454e-05 -0.00017916500568158594 -0.006085914492967401 -0.0010256096031893694 -1.0735543235862565e-05 0.9999809546458744
1638742860.238778352737 -5.749880263697591e-05 -8.056562391620014e-05 -0.0001898156958471568 -0.006082697762749836 -0.0010063514678083805 -1.1132688390940405e-05 0.9999809937797384
1638742860.288741588593 -8.490545901057753e-05 -3.808807146050416e-05 -0.0002542019395056913 -0.0060427216105144056 -0.0009937605914490711 -1.438647345875592e-05 0.9999812486984213
1638742860.338795423508 3.4125202225122216e-05 -5.780423051613345e-05 -0.00032078829516457254 -0.006038312496451916 -0.0010515861994664561 6.8418074309138405e-06 0.999981216274511
1638742860.389427185059 7.235944898378677e-05 -0.00014441684504820293 -0.0005184954200256199 -0.006032732902890115 -0.0010454919875608805 7.855696514483058e-06 0.9999812563335948
1638742860.438796758652 0.00010561474957408636 -0.00021901774042179702 -0.0005823926714946011 -0.006050520392733316 -0.001035405814952534 2.3168728052461782e-05 0.9999811591230034
1638742860.499267816544 0.00013179630801641188 -0.00024662165040533135 -0.0005677277452607884 -0.006043690828905869 -0.0010268134428662744 3.54469613258343e-05 0.9999812089228631
1638742860.538952589035 0.00017487109357852435 -0.00031446020493840145 -0.0005207248185121252 -0.006062306078979546 -0.0010425830578300855 4.577782487693151e-05 0.999981079505989
1638742860.588871955872 0.0001772358215089044 -0.0002477599886437634 -0.0005897873284327232 -0.006002869040545102 -0.0010672645200886677 4.718817828675963e-05 0.9999814119687437
1638742860.638961076736 8.768874197385791e-05 -0.00027231216977480823 -0.0005882572918653432 -0.006017209050335807 -0.0010187623549306412 2.193453024136915e-05 0.999981377245289
